;quote;author;book;category
17514;"The contrast between the realization of his neglect and the fondness I had for my father was painful"".";Yangsze Choo; The Ghost Bride;love
7391;"I wish I had a parabatai,"" Emma said. ""It's like someone who's your family, but because they want to be, not because they have to be.";Cassandra Clare; City of Heavenly Fire;love
27810;"…you know how hard it is to be utterly, drop dead gorgeous,"" she said, twirling that shiny instrument of torture she liked to call her hair.";Tai; Cupid's Academy: The Miseducation of Mergatroyd, Love god in Training;love
569;I love you enough to never make you choose.;Katie McGarry; Pushing the Limits;love
17274;"Always follow your Heart; unless it's been broken, then you must lead it. Back into Love, The Universe";Mike Dooley; Notes from the Universe Coloring Book;love
17958;"I'll never look at cake the same way again,"" he whispered in her ear.";Robin Bielman; Take a Risk Bundle;love
11815;Sex without love is like a goddamn business transaction. And sometimes both parties feel as if they got a good deal, but that doesn't make it any less so.;Emma Bull; War for the Oaks;love
8895;Create new avenues in your life by removing toxic people who defeat your purpose.;Amaka Imani Nkosazana; Release The Ink;love
19061;Every time I see you, I have to admit that rest of us are more uglier than I thought.;Amit Kalantri; I Love You Too;love
4207;God's perspectives requires persistence. To have God's perspective in the world we live in requires persistence.;Patience Johnson; Why Does an Orderly God Allow Disorder;love
17521;"I want to be with YOU!""Bex to Tea";Jamie Scallion; Having It;love
14863;No one else was as close and as open, No one else so boiled my blood, Even he, who consigned me to torment, Even he, who caressed and forgot.;Anna Akhmatova; White Flock;love
19349;They became part of that unreal but penetrating and exciting universe which is the world seen through the eyes of love;Virginia Woolf; To the Lighthouse;love
8483;Harbour no hatred in your heart against anyone. People who do this have placed their influence on the risky line.;Israelmore Ayivor; Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts;love
4209;"Have you ever asked yourself this question ""what can God do through me?"" The preacher has no platform if the people has no sense of mission.";Patience Johnson; Why Does an Orderly God Allow Disorder;love
8736;We will remember the hurt, the injustice, and the trauma, but we can forgive the sinner.;Cathy Burnham Martin; The Bimbo Has Brains: And Other Freaky Facts;love
15738;We are inspired by divine power to write.;Lailah Gifty Akita; Think Great: Be Great!;love
5321;You never know who's waiting for you and you never know when love is coming your way or who it might be. But let me just say, a healthy relationship requires SACRIFICE and DEDICATION.;Jonathan Anthony Burkett; Friends 2 Lovers: The Unthinkable;love
3858;It’s as if our bodies know the secret that we don’t wish to admit yet.;Nicky Fox; My Pin-up Girl;love
21228;Life is full of beautiful moments. Live your life to the fullest. And do what youlove.;Santonu Kumar Dhar; Life of Love;love
10568;Mother often said that she could never be bothered to understand why Alice did the things she did, and now, more than ever, Alice thought never being bothered was a very lazy way to love someone.;Tahereh Mafi; Furthermore;love
19285;Around them there was nothing but silence, as if all the world were holding its breath.;Philip Pullman; The Amber Spyglass;love
7676;You write poems with your fingertipsAnd I keep listening to the songs written on my skinBy some distant dream, similar wordsBut the verses never meet...;Sanhita Baruah; The Farewell and other poems;love
3503;Real is not Dreams, Dreams are not Real,Unless you find the fine line...and erase it;C. Elizabeth; Absolute Obsession;love
11940;People sin, Lena. People in love sin a lot. God invented sex. He knows how it works;Joshilyn Jackson; Gods in Alabama;love
20746;You feel more like home to me than any place I've ever been.;Angela N. Blount; Once Upon an Ever After;love
23418;I really don’t get this whole oranges thing. It’s like, does he want to eat them or go out with them?;Hillary DePiano; The Love of Three Oranges: A Play for the Theatre That Takes the Commedia Dell'arte of Carlo Gozzi and Updates It for the New Millennium;love
7651;The last time someone had laid out a suit and a pair of dress shoes with a ticket purchased for a faraway place, Henry had refused to go.This time, Henry refused to stay.;Jamie Ford; Hotel on the Corner of Bitter and Sweet;love
4562;Break my heart and you will find yourself inside. ;Atticus Poetry; Love Her Wild: Poems;love
21838;It is amazing what women in love will do;Anonymous; The Arabian Nights;love
25376;You are not showing her my baby pictures!” He sounded horrified, which made me laugh. “Come on, Evan,” I teased with a laughing smile, “you were adorable.;Rebecca Donovan; Reason to Breathe;love
5168;It is weird to me on how people will come to church frequently and have absolutely no desire or intention to change anything about their life based on what they experienced in the church.;Patience Johnson; Why Does an Orderly God Allow Disorder;love
15732;Love is divine and pure.;Lailah Gifty Akita; Think Great: Be Great!;love
5195;The most important subject in the curriculum in the future years will be how to love ourselves and be content.;Abhysheq Shukla; Feelings Undefined: The Charm of the Unsaid;love
25874;A desert lily need not turn jealous eyes toward the common violet.;Colleen Houck; Reawakened;love
4734;Armed I am with love. Disarmed I am.;Manuel Alegre; 30 anos de poesia: obra poética completa;love
8909;Christmas is the spirit of love, peace and goodwill to all Humankind.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
9628;We all have this perfect little image of who we want to be, but it is unnecessary. Throw the image away. You're already you just be the best version of yourself.;Abhysheq Shukla;" The Reflection ""Success or Stress""Choose Wisely";love
4397;Every story is a story about death. But perhaps, if we are lucky, our story about death is also a story about love.;Helen Humphreys; The Lost Garden;love
23033;"We live with mutual thought processes in relationships; less with the physical attractions, less with the fame, less with the social status, and less with any sort of materialistic attributes.";Rajasaraswathii; Success-Talks : For Evolution of Your Success;love
23672;At the beginning love is a fact, at the end it's a theory;Bangambiki Habyarimana; The Great Pearl of Wisdom;love
10850;If you are pure in intention and in alignment with beauty and love, in body and mind, the highest levels of your spiritual self will subsume your weaknesses.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;love
12523;Love your children while they are young. Because they grow up soon enough, and then… then the have no need of you.;Robert Ferrigno; Heart of the Assassin;love
14233;I want everything or nothing. A life for a life, taking one and giving up another without hesitation and beyond recall. Or else better have nothing!;Ivan Turgenev; Fathers and Sons;love
1322;Love didn't make you weak, it made you stronger.;Cassandra Clare; City of Glass;love
17295;Let your spirit be great.;Lailah Gifty Akita; Think Great: Be Great!;love
9072;I guess it's the same way trees grow around the very vines that are killing them, so they're strangled and sustained all at once. After a long time, even pain can be a comfort.;Lauren Oliver; Rooms;love
16536;Some call it energy, some say it’s spirit, but I believe it’s the love that people share that keeps them connected, even after death.;Tallulah Grace; Cliffs of Starsdale;love
22367;I never understand why all of us are so stupid. All the time we nurse our spurious and witless ego, while looking deep down inside that we cannot live without talking to our loved ones.;Aakash Neeraj Mittal; It Wasn't Her Fault;love
20928;He had placed the life of every one of his men before his own, and if that wasn’t the sign of a truly great leader, then he didn’t know what was.;Elaine  White; Runaway Girl;love
18277;It is my belief, Watson, founded upon my experience, that the lowest and vilest alleys in London do not present a more dreadful record of sin than does the smiling and beautiful countryside.;Arthur Conan Doyle; Sherlock Holmes: The Complete Novels and Stories, Volume I;love
820;Sweets to the sweet.;William Shakespeare; Hamlet;love
5602;He kissed her good morning like she was the reason sun decided to shine.;Alfa H; Abandoned Breaths;love
12922;Isn’t it time that, loving, we freed ourselves from the beloved, and, trembling, endured:as the arrow endures the bow, so as to be, in its flight, something more than itself?;Rainer Maria Rilke; Duino Elegies;love
22294;If you carry a weapon, war will follow you. If you carry a smile, love will knock at your door.;Amit Ray; Walking the Path of Compassion;love
9692;Passionately embrace your sacred existence.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
6228;In the books I find the thrum of everything unsayable. The characters weep the way I want to, love the way I want to, cry, die, beat their breasts, and bray with life.;Alexandria Marzano-Lesnevich; The Fact of a Body: A Murder and a Memoir;love
20046;My eyes are open and I’m not seeing a thing because I am so lost inside.;David Levithan; How They Met, and Other Stories;love
25353;I will live in thy heart, die in thy lap, and be buried in thyeyes—and moreover, I will go with thee to thy uncle’s.;William Shakespeare; Much Ado About Nothing;love
15698;You don't need to think deeply before reaching out to the excuses to give. Just lose interest in it and you gain excuses at no cost!;Israelmore Ayivor; The Great Hand Book of Quotes;love
20896;There is a river whose streams make glad the city of Love. Along that river is the tree of heaven.;David Paul Kirkpatrick; The Address Of Happiness;love
16937;I'm sentimental--I know. I'm desperate and silly--I know that too. Oh, help me!;Anne Frank; The Diary of a Young Girl;love
4481;Io mi sono sempre lasciata attraversare dalle emozioni, investire con rabbiosa furia, ferirmi nella tormentosa lotta alla sopravvivenza.;Vanessa Vescera; Le parole di una Rosa;love
9643;A broken friendship that is mended through forgiveness can be even stronger than it once was.;Stephen Richards; Forgiveness and Love Conquers All: Healing the Emotional Self;love
28132;God is all about passion for the possible.;R. Alan Woods; The Journey Is The Destination: A Photo Journal;love
2980;The greatest value in the goal process is the skills, the knowledge, the discipline, and the character you develop in pursuit of your goal.;Mensah Oteh; The Good Life: Transform your life through one good day;love
26690;I certainly don't understand all these strange new feelings inside me--am I here because I love him, or because I owe him?;Marie Lu; Prodigy;love
3725;I love being aroused.I relish that delicious feeling of freedom, the delirium of being naked, and my flesh being born again. It’s like I’m being made new.;Fiona Thrust; Naked and Sexual;love
13615;She would let a speeding automobile hit her to show them all how unloved she was.;Lisa Dierbeck; One Pill Makes You Smaller: A Novel;love
14788;Love came from all directions. On paper, on screens, in dishes and words and deeds. We’re thinking of you every minute.I’m sorry.We’re sorry.We’re so sorry…;Suanne Laqueur; Here to Stay;love
17740;[Christians] are commanded to love our neighbors, and the first step in doing this is to show a watching world that Christ reigns within us.;Billy Graham; Billy Graham in Quotes;love
8330;This look of thine will hurl my soul from heaven.;William Shakespeare; Othello;love
17563;Just in case you’re wondering,” Gage says, breaking the silence, “this alliance of ours doesn’t mean I like you.”“Feeling’s mutual.” Julian tosses him a disdainful look.;Laura Kreitzer; Burning Falls;love
5957;Life is too short Be with someone who takes your breath away;Mimi Novic; The Silence Between the Sighs;love
26135;Giving saves lives. Especially the giver’s.;Shannon Kopp; Pound for Pound: A Story of One Woman's Recovery and the Shelter Dogs Who Loved Her Back to Life;love
118;Look after my heart - I've left it with you.;Stephenie Meyer; Eclipse;love
17684;A disproportionate number of stories are love stories – and what is homosexuality but a special narrative of love?;Christopher Bram; Eminent Outlaws: The Gay Writers Who Changed America;love
14811;Saying goodbye to someone you love isn’t really the hard part. It’s living every day, not being able to say anything to them at all.;Laurel Ulen Curtis; Hate: A Love Story;love
